prices,carburant,chevaux,BoiteVitesse,seller_type,city ,type ,KMS,modele,marque,Anciennete
57000,Diesel,5,Manuelle,private,Temara,"Voitures d'occasion, Vente",224999.5,GRANDE PUNTO,Fiat,14
325000,Diesel,8,,private,Casablanca,"Voitures d'occasion, Vente",92499.5,F-Type,Jaguar,6
150000,Diesel,8,Automatique,private,Rabat,"Voitures d'occasion, Vente",184999.5,GOLF 7,Volkswagen,8
168000,Diesel,12,Automatique,private,Casablanca,"Voitures d'occasion, Vente",164999.5,Q7,Audi,12
145000,Essence,11,Automatique,private,Casablanca,"Voitures d'occasion, Vente",124999.5,A5,Audi,12
60000,Essence,8,Manuelle,private,Rabat,"Voitures d'occasion, Vente",144999.5,Logan,Dacia,11
155000,Diesel,8,Automatique,private,Rabat,"Voitures d'occasion, Vente",224999.5,Tiguan,Volkswagen,12
,Diesel,8,Automatique,shop,Agadir,"Voitures d'occasion, Vente",82499.5,PASSAT CC,Volkswagen,3
228000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",104999.5,Q3,Audi,6
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",154999.5,Cayenne,Porsche,9
133000,Diesel,6,Automatique,shop,Mohammedia,"Voitures d'occasion, Vente",82499.5,Accent,Hyundai,3
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,Touareg,Volkswagen,4
99000,Diesel,8,Manuelle,shop,Tetouan,"Voitures d'occasion, Vente",174999.5,Classe A,Mercedes-Benz,10
55000,Essence,8,Automatique,private,Meknes,"Voitures d'occasion, Vente",92499.5,Optra,Chevrolet,15
250000,Diesel,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",92499.5,Range Rover Evoque,Land Rover,7
,Diesel,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",274999.5,Jetta,Volkswagen,34
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Tiguan,Volkswagen,1
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",144999.5,Classe S,Mercedes-Benz,8
20000,Essence,5,Manuelle,private,Mohammedia,"Voitures d'occasion, Vente",224999.5,Maruti,Suzuki,16
167000,Diesel,8,Automatique,private,Agadir,"Voitures d'occasion, Vente",194999.5,A6,Audi,9
,Diesel,6,Manuelle,private,Agadir,"Voitures d'occasion, Vente",324999.5,Logan,Dacia,16
154000,Diesel,6,Manuelle,private,Agadir,"Voitures d'occasion, Vente",184999.5,Caddy,Volkswagen,8
37000,Diesel,10,Manuelle,private,Beni Mellal,"Voitures d'occasion, Vente",324999.5,190,Mercedes-Benz,33
105000,Diesel,9,Automatique,private,Sale,"Voitures d'occasion, Vente",224999.5,Santa Fe,Hyundai,12
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Classe B,Mercedes-Benz,8
118000,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",184999.5,Passat,Volkswagen,13
,Diesel,,,private,Casablanca,"Voitures d'occasion, Vente",77499.5,Dokker,Dacia,4
175000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",47499.5,Focus,Ford,5
89000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",134999.5,Tepee,Peugeot,12
140000,Diesel,9,Manuelle,private,Tanger,"Voitures d'occasion, Vente",32499.5,Scorpion,Mahindra,2
123000,Diesel,6,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Clio,Renault,4
,Diesel,6,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",92499.5,CRETA,Hyundai,5
,Diesel,8,Automatique,private,Fes,"Voitures d'occasion, Vente",87499.5,Q3,Audi,4
,Diesel,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,GOLF 8,Volkswagen,0
33000,Diesel,6,Manuelle,private,Fes,"Voitures d'occasion, Vente",104999.5,GOLF 2,Volkswagen,37
33000,Essence,8,,private,Marrakech,"Voitures d'occasion, Vente",72499.5,Classe A,Mercedes-Benz,22
104000,Diesel,6,,private,Kenitra,"Voitures d'occasion, Vente",72499.5,Dokker,Dacia,3
185000,Diesel,12,,private,Casablanca,"Voitures d'occasion, Vente",104999.5,Touareg,Volkswagen,6
170000,Diesel,8,Manuelle,private,Tetouan,"Voitures d'occasion, Vente",22499.5,Tiguan,Volkswagen,12
185000,Diesel,12,,private,Tanger,"Voitures d'occasion, Vente",194999.5,Touareg,Volkswagen,6
,Diesel,11,,private,Fes,"Voitures d'occasion, Vente",124999.5,A7,Audi,10
,Diesel,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,GOLF 8,Volkswagen,0
33000,Diesel,6,Manuelle,private,Fes,"Voitures d'occasion, Vente",104999.5,GOLF 2,Volkswagen,37
33000,Essence,8,,private,Marrakech,"Voitures d'occasion, Vente",72499.5,Classe A,Mercedes-Benz,22
104000,Diesel,6,,private,Kenitra,"Voitures d'occasion, Vente",72499.5,Dokker,Dacia,3
185000,Diesel,12,,private,Casablanca,"Voitures d'occasion, Vente",104999.5,Touareg,Volkswagen,6
170000,Diesel,8,Manuelle,private,Tetouan,"Voitures d'occasion, Vente",22499.5,Tiguan,Volkswagen,12
185000,Diesel,12,,private,Tanger,"Voitures d'occasion, Vente",194999.5,Touareg,Volkswagen,6
,Diesel,11,,private,Fes,"Voitures d'occasion, Vente",124999.5,A7,Audi,10
148000,Diesel,6,Manuelle,shop,Sale,"Voitures d'occasion, Vente",72499.5,Clio,Renault,2
,Diesel,10,Manuelle,private,Tanger,"Voitures d'occasion, Vente",7499.5,250,Mercedes-Benz,29
125000,Diesel,6,,private,Casablanca,"Voitures d'occasion, Vente",114999.5,Dokker,Dacia,4
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Golf,Volkswagen,1
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Golf,Volkswagen,1
65000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",174999.5,Corolla verso,Toyota,17
132000,Diesel,6,Manuelle,private,Marrakech,"Voitures d'occasion, Vente",144999.5,FOCUS C-MAX,Ford,9
143000,Diesel,6,Manuelle,shop,Tetouan,"Voitures d'occasion, Vente",27499.5,208,Peugeot,2
238000,Diesel,6,Automatique,shop,Rabat,"Voitures d'occasion, Vente",154999.5,A4,Audi,6
115000,Diesel,6,,private,Marrakech,"Voitures d'occasion, Vente",87499.5,Dokker,Dacia,6
55000,Essence,6,Manuelle,shop,Tetouan,"Voitures d'occasion, Vente",184999.5,Polo,Volkswagen,19
162000,Diesel,8,Manuelle,private,Meknes,"Voitures d'occasion, Vente",144999.5,Kuga,Ford,6
153000,Diesel,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",77499.5,Focus,Ford,5
88000,Diesel,6,Manuelle,shop,Fes,"Voitures d'occasion, Vente",104999.5,301,Peugeot,5
139000,Diesel,6,Manuelle,shop,Tetouan,"Voitures d'occasion, Vente",144999.5,ALTEA XL,Seat,5
,Diesel,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",27499.5,Giulietta,Alfa Romeo,1
,Diesel,6,Automatique,private,Casablanca,"Voitures d'occasion, Vente",57499.5,Tucson,Hyundai,2
57000,Diesel,5,Manuelle,private,Temara,"Voitures d'occasion, Vente",224999.5,GRANDE PUNTO,Fiat,14
325000,Diesel,8,,private,Casablanca,"Voitures d'occasion, Vente",92499.5,F-Type,Jaguar,6
150000,Diesel,8,Automatique,private,Rabat,"Voitures d'occasion, Vente",184999.5,GOLF 7,Volkswagen,8
168000,Diesel,12,Automatique,private,Casablanca,"Voitures d'occasion, Vente",164999.5,Q7,Audi,12
145000,Essence,11,Automatique,private,Casablanca,"Voitures d'occasion, Vente",124999.5,A5,Audi,12
60000,Essence,8,Manuelle,private,Rabat,"Voitures d'occasion, Vente",144999.5,Logan,Dacia,11
110000,Essence,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",134999.5,Scirocco,Volkswagen,12
317000,Diesel,8,Automatique,shop,Tanger,"Voitures d'occasion, Vente",62499.5,Golf,Volkswagen,5
43000,Diesel,,,private,Casablanca,"Voitures d'occasion, Vente",184999.5,Berlingo,Citroen,16
,Diesel,7,Manuelle,private,Sale,"Voitures d'occasion, Vente",42499.5,Logan,Dacia,13
153000,Diesel,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",77499.5,Focus,Ford,5
88000,Diesel,6,Manuelle,shop,Fes,"Voitures d'occasion, Vente",104999.5,301,Peugeot,5
139000,Diesel,6,Manuelle,shop,Tetouan,"Voitures d'occasion, Vente",144999.5,ALTEA XL,Seat,5
,Diesel,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",27499.5,Giulietta,Alfa Romeo,1
,Diesel,6,Automatique,private,Casablanca,"Voitures d'occasion, Vente",57499.5,Tucson,Hyundai,2
57000,Diesel,5,Manuelle,private,Temara,"Voitures d'occasion, Vente",224999.5,GRANDE PUNTO,Fiat,14
325000,Diesel,8,,private,Casablanca,"Voitures d'occasion, Vente",92499.5,F-Type,Jaguar,6
150000,Diesel,8,Automatique,private,Rabat,"Voitures d'occasion, Vente",184999.5,GOLF 7,Volkswagen,8
168000,Diesel,12,Automatique,private,Casablanca,"Voitures d'occasion, Vente",164999.5,Q7,Audi,12
145000,Essence,11,Automatique,private,Casablanca,"Voitures d'occasion, Vente",124999.5,A5,Audi,12
60000,Essence,8,Manuelle,private,Rabat,"Voitures d'occasion, Vente",144999.5,Logan,Dacia,11
110000,Essence,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",134999.5,Scirocco,Volkswagen,12
317000,Diesel,8,Automatique,shop,Tanger,"Voitures d'occasion, Vente",62499.5,Golf,Volkswagen,5
43000,Diesel,,,private,Casablanca,"Voitures d'occasion, Vente",184999.5,Berlingo,Citroen,16
,Diesel,7,Manuelle,private,Sale,"Voitures d'occasion, Vente",42499.5,Logan,Dacia,13
,Essence,17,Automatique,private,Casablanca,"Voitures d'occasion, Vente",134999.5,Serie 5,BMW,12
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Golf,Volkswagen,1
225000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",134999.5,Serie 2,BMW,7
,Diesel,8,Automatique,shop,Agadir,"Voitures d'occasion, Vente",57499.5,E-PACE,Jaguar,4
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Golf,Volkswagen,1
315000,Diesel,6,Automatique,private,Casablanca,"Voitures d'occasion, Vente",87499.5,Classe A,Mercedes-Benz,3
245000,Diesel,12,Automatique,private,Casablanca,"Voitures d'occasion, Vente",144999.5,A7,Audi,7
520000,Diesel,12,Automatique,private,Casablanca,"Voitures d'occasion, Vente",144999.5,Range Rover,Land Rover,6
365000,Diesel,9,,private,Laayoune,"Voitures d'occasion, Vente",37499.5,Sorento,Kia,1
280000,Diesel,11,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",124999.5,Wrangler,Jeep,6
85000,Diesel,12,Automatique,shop,Fes,"Voitures d'occasion, Vente",224999.5,CLASSE ML,Mercedes-Benz,16
,Diesel,12,Automatique,private,Kenitra,"Voitures d'occasion, Vente",2499.5,Range Rover,Land Rover,15
195000,Diesel,9,Automatique,shop,Fes,"Voitures d'occasion, Vente",174999.5,220,Mercedes-Benz,11
205000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",154999.5,GOLF 7,Volkswagen,7
67000,Essence,6,,private,Agadir Melloul,"Voitures d'occasion, Vente",104999.5,C-Elysee,Citroen,6
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,X1,BMW,8
,Essence,4,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",27499.5,R4,Renault,33
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",67499.5,Range Rover,Land Rover,4
223000,Diesel,8,,private,Agadir,"Voitures d'occasion, Vente",164999.5,A5,Audi,9
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,XF,Jaguar,4
,Diesel,8,,private,Souk El Arbaa,"Voitures d'occasion, Vente",67499.5,L200,Mitsubishi,10
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",134999.5,A8,Audi,9
58000,Essence,8,Manuelle,private,Oujda,"Voitures d'occasion, Vente",174999.5,Sandero,Dacia,12
22000,Diesel,8,Manuelle,private,El Gara,"Voitures d'occasion, Vente",,Renault,34,
97000,Diesel,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",97499.5,C-ELYSEE,Citroen,5
220000,Essence,11,,shop,Marrakech,"Voitures d'occasion, Vente",144999.5,Serie 4,BMW,6
,Essence,24,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",134999.5,XK8,Jaguar,12
60000,Essence,8,Manuelle,private,Rabat,"Voitures d'occasion, Vente",124999.5,Logan,Dacia,10
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Cayenne,Porsche,9
220000,Diesel,10,Manuelle,shop,Oujda,"Voitures d'occasion, Vente",7499.5,FREEMONT,Fiat,1
,Diesel,8,Manuelle,private,Guercif,"Voitures d'occasion, Vente",174999.5,Passat,Volkswagen,15
139000,Diesel,8,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",144999.5,Passat,Volkswagen,8
75000,Essence,11,Automatique,private,Casablanca,"Voitures d'occasion, Vente",144999.5,Accord,Honda,14
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,X1,BMW,8
47000,Essence,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",194999.5,206,Peugeot,16
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",134999.5,Classe CLS,Mercedes-Benz,7
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,XE,Jaguar,4
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,Touareg,Volkswagen,2
265000,Diesel,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",174999.5,X3,BMW,5
345000,Diesel,12,Automatique,shop,Kenitra,"Voitures d'occasion, Vente",154999.5,Range Rover Sport,Land Rover,8
,Diesel,9,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",87499.5,Transit,Ford,3
39000,Essence,9,Manuelle,private,Kenitra,"Voitures d'occasion, Vente",2499.5,Megane,Renault,18
,Diesel,12,,private,Mohammedia,"Voitures d'occasion, Vente",134999.5,Panamera,Porsche,10
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",134999.5,Serie 5,BMW,4
90000,Diesel,8,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",194999.5,GOLF 5,Volkswagen,14
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,CLASSE C COUPE,Mercedes-Benz,5
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,country man,mini,6
,Essence,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",77499.5,Continental gt,Bentley,11
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Classe C,Mercedes-Benz,7
109000,Diesel,,,private,Casablanca,"Voitures d'occasion, Vente",77499.5,Logan,Dacia,3
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Serie 7,BMW,2
,Essence,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",42499.5,California,Ferrari,8
165000,Diesel,6,,shop,Casablanca,"Voitures d'occasion, Vente",77499.5,Megane Sedan,Renault,3
,Essence,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",12499.5,Cayenne,Porsche,1
99000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",144999.5,Fluence,Renault,7
90000,Diesel,8,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",194999.5,GOLF 5,Volkswagen,14
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,CLASSE C COUPE,Mercedes-Benz,5
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,country man,mini,6
,Essence,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",77499.5,Continental gt,Bentley,11
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",104999.5,Classe C,Mercedes-Benz,7
109000,Diesel,,,private,Casablanca,"Voitures d'occasion, Vente",77499.5,Logan,Dacia,3
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Serie 7,BMW,2
,Essence,,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",42499.5,California,Ferrari,8
165000,Diesel,6,,shop,Casablanca,"Voitures d'occasion, Vente",77499.5,Megane Sedan,Renault,3
,Essence,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",12499.5,Cayenne,Porsche,1
99000,Diesel,6,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",144999.5,Fluence,Renault,7
,Diesel,6,Manuelle,shop,Agadir,"Voitures d'occasion, Vente",104999.5,Sandero,Dacia,4
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",67499.5,XF,Jaguar,3
42000,Diesel,7,Manuelle,private,Marrakech,"Voitures d'occasion, Vente",274999.5,Logan,Dacia,14
125000,Diesel,8,Automatique,private,Rabat,"Voitures d'occasion, Vente",224999.5,Passat,Volkswagen,9
,Diesel,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",82499.5,Logan,Dacia,4
225000,Diesel,7,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,Tucson,Hyundai,5
125000,Diesel,9,Automatique,private,Beni Mellal,"Voitures d'occasion, Vente",224999.5,220,Mercedes-Benz,15
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",97499.5,A8,Audi,7
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Range Rover Sport,Land Rover,9
155000,Diesel,7,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",82499.5,Leon,Seat,5
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Quattroporte,Maserati,5
103000,Diesel,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",114999.5,Clio,Renault,7
289000,Diesel,8,Automatique,shop,Tanger,"Voitures d'occasion, Vente",194999.5,Touran,Volkswagen,6
129000,Diesel,8,Manuelle,private,Mohammedia,"Voitures d'occasion, Vente",144999.5,Serie 1,BMW,10
,Essence,23,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",57499.5,Range Rover Sport,Land Rover,2
,Hybride,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Bentayga,Bentley,0
43000,Essence,8,Manuelle,private,Missour,"Voitures d'occasion, Vente",124999.5,C3,Citroen,19
,Essence,23,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Classe G,Mercedes-Benz,1
20000,Diesel,10,Manuelle,private,Nador,"Voitures d'occasion, Vente",17499.5,240,Mercedes-Benz,41
,Essence,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Serie 6,BMW,13
,Essence,9,Manuelle,private,Rabat,"Voitures d'occasion, Vente",124999.5,GOLF 4,Volkswagen,23
58000,Essence,7,Manuelle,private,Rabat,"Voitures d'occasion, Vente",97499.5,Punto,Fiat,12
,Essence,28,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,Cayenne,Porsche,10
,Diesel,13,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",144999.5,COUNTY,Hyundai,5
,Diesel,12,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Quattroporte,Maserati,5
103000,Diesel,6,Manuelle,private,Casablanca,"Voitures d'occasion, Vente",114999.5,Clio,Renault,7
289000,Diesel,8,Automatique,shop,Tanger,"Voitures d'occasion, Vente",194999.5,Touran,Volkswagen,6
129000,Diesel,8,Manuelle,private,Mohammedia,"Voitures d'occasion, Vente",144999.5,Serie 1,BMW,10
,Essence,23,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",57499.5,Range Rover Sport,Land Rover,2
,Hybride,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Bentayga,Bentley,0
43000,Essence,8,Manuelle,private,Missour,"Voitures d'occasion, Vente",124999.5,C3,Citroen,19
,Essence,23,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Classe G,Mercedes-Benz,1
20000,Diesel,10,Manuelle,private,Nador,"Voitures d'occasion, Vente",17499.5,240,Mercedes-Benz,41
,Essence,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Serie 6,BMW,13
,Essence,9,Manuelle,private,Rabat,"Voitures d'occasion, Vente",124999.5,GOLF 4,Volkswagen,23
58000,Essence,7,Manuelle,private,Rabat,"Voitures d'occasion, Vente",97499.5,Punto,Fiat,12
,Essence,28,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,Cayenne,Porsche,10
,Diesel,13,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",144999.5,COUNTY,Hyundai,5
15000,Diesel,8,Manuelle,private,Safi,"Voitures d'occasion, Vente",104999.5,240,Mercedes-Benz,
,Diesel,7,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",154999.5,ix 35,Hyundai,8
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",47499.5,Classe CLA,Mercedes-Benz,2
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,Range Rover Evoque,Land Rover,3
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",174999.5,Classe C,Mercedes-Benz,11
60000,Essence,8,,private,Agadir,"Voitures d'occasion, Vente",154999.5,500,Fiat,14
,Essence,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",32499.5,Classe S,Mercedes-Benz,4
,Diesel,8,,shop,Rabat,"Voitures d'occasion, Vente",104999.5,X3,BMW,5
,Hybride,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",57499.5,Cayenne,Porsche,3
110000,Diesel,5,,private,Rabat,"Voitures d'occasion, Vente",62499.5,Sandero,Dacia,5
245000,Diesel,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",184999.5,X3,BMW,7
85000,Diesel,11,Automatique,shop,Kenitra,"Voitures d'occasion, Vente",224999.5,CLASSE ML,Mercedes-Benz,15
98000,Diesel,5,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",67499.5,FIORINO,Fiat,2
345000,Diesel,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",184999.5,A6,Audi,6
47000,Diesel,7,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",134999.5,Megane,Renault,21
105000,Diesel,5,Manuelle,private,Marrakech,"Voitures d'occasion, Vente",87499.5,Yaris,Toyota,6
110000,Essence,10,,private,Casablanca,"Voitures d'occasion, Vente",194999.5,S4,Audi,13
83000,Essence,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",104999.5,cooper,mini,12
,Diesel,6,Manuelle,private,Settat,"Voitures d'occasion, Vente",37499.5,Palio,Fiat,23
118000,Essence,11,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",104999.5,Serie 1,BMW,10
425000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,S90,Volvo,1
289000,Diesel,8,Automatique,shop,Tanger,"Voitures d'occasion, Vente",194999.5,Touran,Volkswagen,6
129000,Diesel,8,Manuelle,private,Mohammedia,"Voitures d'occasion, Vente",144999.5,Serie 1,BMW,10
,Essence,23,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",57499.5,Range Rover Sport,Land Rover,2
,Hybride,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Bentayga,Bentley,0
43000,Essence,8,Manuelle,private,Missour,"Voitures d'occasion, Vente",124999.5,C3,Citroen,19
,Essence,23,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,Classe G,Mercedes-Benz,1
20000,Diesel,10,Manuelle,private,Nador,"Voitures d'occasion, Vente",17499.5,240,Mercedes-Benz,41
,Essence,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",92499.5,Serie 6,BMW,13
,Essence,9,Manuelle,private,Rabat,"Voitures d'occasion, Vente",124999.5,GOLF 4,Volkswagen,23
58000,Essence,7,Manuelle,private,Rabat,"Voitures d'occasion, Vente",97499.5,Punto,Fiat,12
,Essence,28,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",114999.5,Cayenne,Porsche,10
,Diesel,13,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",144999.5,COUNTY,Hyundai,5
15000,Diesel,8,Manuelle,private,Safi,"Voitures d'occasion, Vente",104999.5,240,Mercedes-Benz,
,Diesel,7,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",154999.5,ix 35,Hyundai,8
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",47499.5,Classe CLA,Mercedes-Benz,2
,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",62499.5,Range Rover Evoque,Land Rover,3
,Diesel,9,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",174999.5,Classe C,Mercedes-Benz,11
60000,Essence,8,,private,Agadir,"Voitures d'occasion, Vente",154999.5,500,Fiat,14
,Essence,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",32499.5,Classe S,Mercedes-Benz,4
,Diesel,8,,shop,Rabat,"Voitures d'occasion, Vente",104999.5,X3,BMW,5
,Hybride,17,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",57499.5,Cayenne,Porsche,3
110000,Diesel,5,,private,Rabat,"Voitures d'occasion, Vente",62499.5,Sandero,Dacia,5
245000,Diesel,8,Automatique,private,Casablanca,"Voitures d'occasion, Vente",184999.5,X3,BMW,7
85000,Diesel,11,Automatique,shop,Kenitra,"Voitures d'occasion, Vente",224999.5,CLASSE ML,Mercedes-Benz,15
98000,Diesel,5,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",67499.5,FIORINO,Fiat,2
345000,Diesel,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",184999.5,A6,Audi,6
47000,Diesel,7,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",134999.5,Megane,Renault,21
105000,Diesel,5,Manuelle,private,Marrakech,"Voitures d'occasion, Vente",87499.5,Yaris,Toyota,6
110000,Essence,10,,private,Casablanca,"Voitures d'occasion, Vente",194999.5,S4,Audi,13
83000,Essence,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",104999.5,cooper,mini,12
,Diesel,6,Manuelle,private,Settat,"Voitures d'occasion, Vente",37499.5,Palio,Fiat,23
118000,Essence,11,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",104999.5,Serie 1,BMW,10
425000,Diesel,8,Automatique,shop,Casablanca,"Voitures d'occasion, Vente",2499.5,S90,Volvo,1
200000,Diesel,12,Automatique,private,Casablanca,"Voitures d'occasion, Vente",184999.5,Discovery,Land Rover,10
90000,Diesel,5,Manuelle,shop,Casablanca,"Voitures d'occasion, Vente",57499.5,Doblo,Fiat,3
110000,Essence,10,,private,Casablanca,"Voitures d'occasion, Vente",194999.5,S4,Audi,13
83000,Essence,8,Automatique,shop,Rabat,"Voitures d'occasion, Vente",104999.5,cooper,mini,12
,Diesel,6,Manuelle,private,Settat,"Voitures d'occasion, Vente",37499.5,Palio,Fiat,23
118000,Essence,11,Manuelle,shop,Rabat,"Voitures d'occasion, Vente",104999.5,Serie 1,BMW,10
